transaction_id,amount,transaction_time,transaction_type,location_region,is_fraud
796,134.4994268345626,8244.034826486877,phone,EU,0
203,114.41152500887529,10895.41712003463,online,EU,0
836,123.16463676264064,10873.119608315335,in-person,EU,0
544,48.133521737153586,8663.819092713902,online,US-East,0
439,4.242437529015604,10880.949475920797,online,US-East,0
408,117.89536484812268,12045.14086401928,phone,US-East,0
893,25.30712447375442,15179.127284037228,online,Asia,0
260,47.726535775885885,8697.163992771104,online,Asia,0
553,41.155729049007356,10949.396465759906,phone,US-East,0
325,66.95087024376132,9301.484591363142,online,Asia,0
481,59.49506190583871,8892.82351658401,online,EU,0
620,10.198981603090024,8661.854522680167,in-person,US-West,0
22,17.275775600120113,9851.133141799908,phone,EU,0
6,2.991938430434034,15120.16907653759,online,Asia,0
318,8.506037078642708,11992.53363889428,online,US-East,0
34,168.53151712305862,10859.236438265172,online,Asia,0
294,6.7944520648713995,8748.87459698094,phone,Asia,0
321,62.692464388838786,9143.769678068174,in-person,US-East,0
488,150.19980029304656,8701.444909867985,online,EU,0
32,3.363196543965212,9859.668577082706,online,Asia,0
371,0.9194943923616852,8491.448299961285,in-person,EU,0
396,97.74195785831246,8722.076504620996,phone,Asia,0
451,40.86802037807465,8674.198164898104,online,US-West,0
113,82.54435402422847,14020.409077532699,in-person,US-East,0
395,133.5068962199663,5693.21977279257,phone,US-East,0
319,14.40029945632918,9012.486833677374,phone,US-West,0
412,150.39747700519948,11189.508683330572,phone,US-West,0
957,2.405233214598861,11694.843354300843,phone,US-East,0
604,6.427810674667627,9969.38030165401,online,Asia,0
791,44.122230455427704,10603.583799638933,online,US-West,0
715,132.62780241103906,8780.434191361235,online,US-East,0
517,83.18238614980432,9367.183100610397,phone,Asia,0
358,140.8627727693576,10300.837810287152,phone,Asia,0
758,112.16516652682228,9834.638628314602,online,EU,0
96,36.98394193886335,8725.225745386964,phone,US-East,0
504,57.716479182440786,11116.653825043444,phone,EU,0
332,0.7249039860402138,9481.915708358594,in-person,EU,0
855,10.578521490440792,6873.618382606686,online,US-East,0
591,51.204202553790324,11868.639822478548,in-person,US-East,0
80,99.42647858291113,13101.000985628154,in-person,Asia,0
198,109.05662846983066,9835.697643214862,in-person,Asia,0
617,16.20884215643254,6772.877204246517,phone,US-East,0
674,26.415277824465118,10614.813395618201,online,US-West,0
289,44.68162650730876,11767.319874973346,online,Asia,0
430,7.715382727105968,8035.025212923381,phone,US-West,0
141,14.503064749610264,10293.427372866645,online,US-East,0
609,58.62287170062711,9682.94085394606,in-person,EU,0
672,4.181785629600008,9557.492752828455,in-person,US-East,0
771,93.68719786058438,13086.487056544378,in-person,US-East,0
611,80.32471219130598,8133.464081853608,phone,US-East,0
335,2.0790725958646212,9925.555526980317,online,EU,0
394,20.836683546537657,8017.215301087385,in-person,US-West,0
171,0.836347377923531,10754.42375012904,phone,US-West,0
360,24.56503461119536,14806.831170476551,phone,US-West,0
14,10.033949437483168,11415.50387091095,phone,EU,0
436,3.777304476289857,8797.264712097573,online,US-West,0
60,24.60651458971093,10534.100531738517,in-person,Asia,0
890,64.0547406548516,9625.711469990902,online,Asia,0
870,23.36510937375693,9105.356208682497,in-person,US-West,0
482,30.306387783847544,11137.966158370551,online,Asia,0
101,50.58647754637747,10942.831112772808,online,US-East,0
153,33.613605473681815,14326.50944661092,online,US-West,0
521,23.973684987904807,10786.635678788743,in-person,EU,0
885,9.833885472589268,12824.44111083086,online,Asia,0
783,21.20915968966317,4255.475573436702,in-person,Asia,0
50,174.64035663681133,10444.267543267426,online,EU,0
582,33.924564633367986,9223.646362917543,online,US-East,0
619,68.96786201071542,9581.352645696268,online,Asia,0
835,27.14381081280035,4157.299033010785,in-person,EU,0
839,50.0195386258924,7980.538590580125,phone,US-West,0
